Module                  Size  Used by
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  1
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  1 ip_tables
autofs4                57344  2
hid_generic            12288  0
usbhid                 77824  0
nvme                   61440  2
r8169                 139264  0
nvme_core             233472  3 nvme
video                  77824  1 amdgpu
thunderbolt           540672  0
i2c_hid_acpi           12288  0
nvme_keyring           20480  1 nvme_core
i2c_hid                40960  1 i2c_hid_acpi
nvme_auth              28672  1 nvme_core
realtek                49152  1
wmi                    28672  2 video,wmi_bmof
hid                   262144  4 i2c_hid,usbhid,snd_soc_sdca,hid_generic
