正在列出...
network-manager-openvpn-gnome/noble-updates 1.10.2-4ubuntu0.2 amd64 [可升級自：1.10.2-4build2]
network-manager-openvpn/noble-updates 1.10.2-4ubuntu0.2 amd64 [可升級自：1.10.2-4build2]
network-manager/noble-updates 1.46.0-1ubuntu2.7 amd64 [可升級自：1.46.0-1ubuntu2.5]
nftables/noble-updates 1.0.9-1ubuntu0.1 amd64 [可升級自：1.0.9-1build1]
python3-netplan/noble-updates 1.1.2-8ubuntu1~24.04.2 amd64 [可升級自：1.1.2-8ubuntu1~24.04.1]
python3-software-properties/noble-updates,noble-updates 0.99.49.4 all [可升級自：0.99.49.3]
remmina-common/noble-updates,noble-updates 1.4.35+dfsg-0ubuntu5.2 all [可升級自：1.4.35+dfsg-0ubuntu5.1]
remmina-plugin-rdp/noble-updates 1.4.35+dfsg-0ubuntu5.2 amd64 [可升級自：1.4.35+dfsg-0ubuntu5.1]
remmina-plugin-secret/noble-updates 1.4.35+dfsg-0ubuntu5.2 amd64 [可升級自：1.4.35+dfsg-0ubuntu5.1]
remmina-plugin-vnc/noble-updates 1.4.35+dfsg-0ubuntu5.2 amd64 [可升級自：1.4.35+dfsg-0ubuntu5.1]
remmina/noble-updates 1.4.35+dfsg-0ubuntu5.2 amd64 [可升級自：1.4.35+dfsg-0ubuntu5.1]
rsyslog/noble-updates 8.2312.0-3ubuntu9.2 amd64 [可升級自：8.2312.0-3ubuntu9.1]
snapd/noble-updates 2.75.2+ubuntu24.04 amd64 [可升級自：2.73+ubuntu24.04.2]
software-properties-common/noble-updates,noble-updates 0.99.49.4 all [可升級自：0.99.49.3]
software-properties-gtk/noble-updates,noble-updates 0.99.49.4 all [可升級自：0.99.49.3]
systemd-hwe-hwdb/noble-updates,noble-updates 255.1.7 all [可升級自：255.1.6]
ubuntu-drivers-common/noble-updates 1:0.9.7.6ubuntu3.7 amd64 [可升級自：1:0.9.7.6ubuntu3.5]
ubuntu-pro-client-l10n/noble-updates 37.2ubuntu~24.04 amd64 [可升級自：37.1ubuntu0~24.04]
ubuntu-pro-client/noble-updates 37.2ubuntu~24.04 amd64 [可升級自：37.1ubuntu0~24.04]
xserver-common/noble-updates,noble-updates 2:21.1.12-1ubuntu1.6 all [可升級自：2:21.1.12-1ubuntu1.5]
xserver-xephyr/noble-updates 2:21.1.12-1ubuntu1.6 amd64 [可升級自：2:21.1.12-1ubuntu1.5]
xserver-xorg-core/noble-updates 2:21.1.12-1ubuntu1.6 amd64 [可升級自：2:21.1.12-1ubuntu1.5]
xserver-xorg-legacy/noble-updates 2:21.1.12-1ubuntu1.6 amd64 [可升級自：2:21.1.12-1ubuntu1.5]
